module_id	module_name	tier	source_org_count	source_orgs
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	A	28	aae,afr,bba,bsr,bsu,cae,cprv,ctd,ctr,dra,ecj,eco,gau,heo,hin,hit,hpy,lpro,nme,nmp,rmr,rpo,rpr,saal,sox,syn,syz,tro
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	A	4	ecj,eco,hin,hit
M00061	Glucuronate degradation, glucuronate => pyruvate + glyceraldehyde-3P	A	4	apr,ecj,eco,tma
M00063	CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	A	35	aae,aba,ade,afr,bba,bth,btho,caby,caci,ccz,cte,ddf,din,ecj,eco,emi,fml,fnu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nme,nmp,ote,rba,tai,tnr,ttk,vai
M00064	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	A	20	aba,caby,cte,ddf,din,ecj,eco,emi,fml,gau,heo,hin,hit,hpy,ial,lpro,nme,nmp,vai,vbl
M00082	Fatty acid biosynthesis, initiation	A	45	aae,aba,ade,afr,bsr,bsu,caby,cac,cae,ccz,cex,cprv,ctd,cte,ctr,ddf,din,dra,dth,ecj,eco,fml,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nme,nmp,ote,rba,rmr,syn,syz,tnr,tro,ttk,tye,vab,vai,vbl
M00083	Fatty acid biosynthesis, elongation	A	50	aae,aba,ade,afr,alam,bsr,bsu,bth,btho,caby,cac,cae,ccz,cpo,cprv,ctd,cte,ctr,ddf,dra,dth,ecj,eco,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,vab,vbl
M00086	beta-Oxidation, acyl-CoA synthesis	A	48	aae,aba,ade,afr,alam,bba,bbu,bbz,bsed,bsr,bsu,bth,btho,caby,ccz,cprv,cte,ddf,det,din,dra,ecj,eco,emi,fml,fnu,fsu,gau,gsk,gsu,hin,hit,ial,lpro,mbf,nli,nme,nmp,rba,rmr,syn,syz,tai,tro,ttk,vab,vai,vbl
M00087	beta-Oxidation	A	8	ade,bba,bsed,cprv,ecj,eco,gau,rmr
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	A	2	afr,rba
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	A	43	aba,ade,afr,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,cprv,ctd,cte,ctr,ddf,din,ecj,eco,emi,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,nli,nme,nmp,ote,rba,rmr,rpo,rpr,tai,ttk,tye
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	A	11	bsr,bsu,cprv,cte,dra,ecj,eco,fml,syn,syz,vab
M00097	Lycopene biosynthesis, geranylgeranyl-PP => lycopene	A	13	bba,bsed,ccz,cprv,dra,fml,gau,ial,rba,rmr,syn,syz,tro
M00098	Acylglycerol degradation	A	1	dra
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	A	2	syn,syz
