pathway_id	pathway_name	source_org_count	source_orgs
ko00541	Biosynthesis of various nucleotide sugars - Fannyhessea vaginae	61	aae,aba,ade,afr,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00542	O-Antigen repeat unit biosynthesis - Fannyhessea vaginae	23	bsr,bsu,cac,cae,ccz,cex,ecj,eco,fml,fvg,hin,hit,ial,mbf,nli,rba,syn,syz,tai,tma,tnr,vab,vbl
ko00543	Exopolysaccharide biosynthesis - Fannyhessea vaginae	48	aae,aba,ade,afr,apr,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dth,ecj,eco,emi,fml,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,syn,syz,tai,tma,tnr,ttk,vab,vai,vbl
ko00550	Peptidoglycan biosynthesis - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00552	Teichoic acid biosynthesis - Fannyhessea vaginae	55	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,hin,hit,ial,mbf,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00561	Glycerolipid metabolism - Fannyhessea vaginae	60	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00562	Inositol phosphate metabolism - Haemophilus influenzae Rd KW20 (serotype d)	48	aae,aba,ade,afr,apr,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,dth,ecj,eco,fml,fsu,gau,gsk,gsu,hin,hit,ial,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tma,tnr,tro,ttk,tye,vab
ko00564	Glycerophospholipid metabolism - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00565	Ether lipid metabolism - Neisseria meningitidis MC58 (serogroup B)	6	ecj,eco,heo,hpy,nme,nmp
ko00566	Sulfoquinovose metabolism - Escherichia coli K-12 MG1655	8	aae,ddf,ecj,eco,gsk,syn,syz,ttk
ko00572	Arabinogalactan biosynthesis - Mycobacterium - Fannyhessea vaginae	4	apv,fvg,ial,ote
ko00592	alpha-Linolenic acid metabolism - Bacillus subtilis subsp. subtilis 168	19	aba,ade,bba,bsr,bsu,ccz,ddf,din,dra,ecj,eco,gau,heo,hpy,nme,nmp,rmr,ttk,vab
